,entity,meaning
10231,active," disposed to take action or effectuate change; ""a director who takes an active interest in corporate operations""; ""an active antagonism""; ""he was active in drawing attention to their grievances"""
10232,active," a person who is a participating member of an organization; ""the club issues a list of members, both the actives and the retirees"""
10233,active," tending to become more severe or wider in scope; ""active tuberculosis"""
10234,active," exerting influence or producing a change or effect; ""an active ingredient"""
10235,subjugate, make subservient; force to submit or subdue
10236,subjugate," put down by force or intimidation; ""The government quashes any attempt of an uprising""; ""China keeps down her dissidents very efficiently""; ""The rich landowners subjugated the peasants working the land"""
10237,maintain, state categorically
10238,maintain," keep in a certain state, position, or activity; e.g., ""keep clean""; ""hold in place""; ""She always held herself as a lady""; ""The students keep me on my toes"""
10239,pump, raise (gases or fluids) with a pump
10240,pump, a mechanical device that moves fluid or gas by pressure or suction
10241,objectification, the act of representing an abstraction as a physical thing
10242,objectification, a concrete representation of an abstract idea or principle
10243,loosen," make loose or looser; ""loosen the tension on a rope"""
10244,loosen," make less dense; ""loosen the soil"""
10245,cinnamon, tropical Asian tree with aromatic yellowish-brown bark; source of the spice cinnamon
10246,cinnamon, spice from the dried aromatic bark of the Ceylon cinnamon tree; used as rolled strips or ground
10247,slit, a narrow fissure
10248,slit, a depression scratched or carved into a surface
10249,slit," make a clean cut through; ""slit her throat"""
10250,slit," cut a slit into; ""slit the throat of the victim"""
10251,retread, give new treads to (a tire)
10252,retread, a used automobile tire that has been remolded to give it new treads
10253,devaluation, the reduction of something's value or worth
10254,devaluation, an official lowering of a nation's currency; a decrease in the value of a country's currency relative to that of foreign countries
10255,excavation," the site of an archeological exploration; ""they set up camp next to the dig"""
10256,excavation," the act of digging; ""there's an interesting excavation going on near Princeton"""
10257,excavation, a hole in the ground made by excavating
10258,motorize," equip with a motor; ""motorized scooters are now the rage"""
10259,motorize," equip with a motor vehicle; ""The police around here are not motorized and patrol the streets on horseback"""
10260,take apart," divide into pieces; ""our department was dismembered when our funding dried up""; ""The Empire was discerped after the war"""
10261,take apart, take apart into its constituent pieces
10262,take apart," make a mathematical, chemical, or grammatical analysis of; break down into components or essential features; ""analyze a specimen""; ""analyze a sentence""; ""analyze a chemical compound"""
10263,stick in," introduce; ""Insert your ticket here"""
10264,stick in," insert casually; ""She slipped in a reference to her own work"""
10265,relative," estimated by comparison; not absolute or complete; ""a relative stranger"""
10266,relative," a person related by blood or marriage; ""police are searching for relatives of the deceased""; ""he has distant relations back in New Jersey"""
10267,stink," smell badly and offensively; ""The building reeks of smoke"""
10268,stink, a distinctive odor that is offensively unpleasant
10269,coal," burn to charcoal; ""Without a drenching rain, the forest fire will char everything"""
10270,coal, fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period
10271,wonder," place in doubt or express doubtful speculation; ""I wonder whether this was the right thing to do""; ""she wondered whether it would snow tonight"""
10272,wonder," be amazed at; ""We marvelled at the child's linguistic abilities"""
10273,wonder," have a wish or desire to know something; ""He wondered who had built this beautiful church"""
10274,wonder," something that causes feelings of wonder; ""the wonders of modern science"""
10275,wonder, a state in which you want to learn more about something
10276,wince, a reflex response to sudden pain   influenced as by charms or incantations
10277,wince," draw back, as with fear or pain; ""she flinched when they showed the slaughtering of the calf"""
10278,wince, the facial expression of sudden pain
10279,overcast," make overcast or cloudy; ""Fall weather often overcasts our beaches"""
10280,overcast, sew over the edge of with long slanting wide stitches
10281,overcast," sew with an overcast stitch from one section to the next; ""overcast books"""
10282,overcast, the state of the sky when it is covered by clouds
10283,glow," shine intensely, as if with heat; ""The coals were glowing in the dark""; ""The candles were burning"""
10284,glow, an alert and refreshed state
10285,suck in," attract by using an inexorable force, inducement, etc.; ""The current boom in the economy sucked many workers in from abroad"""
10286,suck in," draw in as if by suction; ""suck in your cheeks and stomach"""
10287,blaze," burn brightly and intensely; ""The summer sun alone can cause a pine to blaze"""
10288,blaze," the center around which something rotates   shine brightly and intensively; ""Meteors blazed across the atmosphere"""
10289,reverberate," to throw or bend back (from a surface); ""Sound is reflected well in this auditorium"""
10290,reverberate," have a long or continuing effect; ""The discussions with my teacher reverberated throughout my adult life"""
10291,spouter, an oil well that is spouting
10292,spouter, an obnoxious and foolish and loquacious talker
10293,flare," burn brightly; ""Every star seemed to flare with new intensity"""
10294,flare," shine with a sudden light; ""The night sky flared with the massive bombardment"""
10295,flare, a sudden burst of flame
10296,snuff out," put out, as of fires, flames, or lights; ""Too big to be extinguished at once, the forest fires at best could be contained""; ""quench the flames""; ""snuff out the candles"""
10297,snuff out," put an end to; kill; ""The Nazis snuffed out the life of many Jewish children"""
10298,kindle," catch fire; ""The dried grass of the prairie kindled, spreading the flames for miles"""
10299,kindle," cause to start burning; ""The setting sun kindled the sky with oranges and reds"""
10300,strive," to exert much effort or energy; ""straining our ears to hear"""
10301,strive," attempt by employing effort; ""we endeavor to make our customers happy"""
10302,sculpture, creating figures or designs in three dimensions
10303,sculpture," shape (a material like stone or wood) by whittling away at it; ""She is sculpting the block of marble into an image of her husband"""
10304,sculpture," create by shaping stone or wood or any other hard material; ""sculpt a swan out of a block of ice"""
10305,sculpture, a three-dimensional work of plastic art
10306,sprinkle," rain gently; ""It has only sprinkled, but the roads are slick"""
10307,sprinkle," cause (a liquid) to spatter about, especially with force; ""She splashed the water around her"""
10308,sprinkle," scatter with liquid; wet lightly; ""Sprinkle the lawn"""
10309,sprinkle," distribute loosely; ""He scattered gun powder under the wagon"""
10310,lubricate," have lubricating properties; ""the liquid in this can lubricates well"""
10311,lubricate," apply a lubricant to; ""lubricate my car"""
10312,shroud," form a cover like a shroud; ""Mist shrouded the castle"""
10313,shroud," cover as if with a shroud; ""The origins of this civilization are shrouded in mystery"""
10314,shroud," wrap in a shroud; ""shroud the corpses"""
10315,ornament," be an ornament to; ""stars ornamented the Christmas tree"""
10316,ornament," make more attractive by adding ornament, colour, etc.; ""Decorate the room for the party""; ""beautify yourself for the special day"""
10317,continue," continue after an interruption; ""The demonstration continued after a break for lunch"""
10318,continue," exist over a prolonged period of time; ""The bad weather continued for two more weeks"""
10319,dispense, give or apply (medications)
10320,dispense," grant a dispensation; grant an exemption; ""I was dispensed from this terrible task"""
10321,irritate," excite to an abnormal condition, or chafe or inflame; ""Aspirin irritates my stomach"""
10322,irritate," excite to some characteristic action or condition, such as motion, contraction, or nervous impulse, by the application of a stimulus; ""irritate the glands of a leaf"""
10323,overshadow," be greater in significance than; ""the tragedy overshadowed the couple's happiness"""
10324,overshadow," cast a shadow upon; ""The tall tree overshadowed the house"""
10325,fill," a quantity sufficient to satisfy; ""he ate his fill of potatoes""; ""she had heard her fill of gossip"""
10326,fill," plug with a substance; ""fill a cavity"""
10327,friendly," troops belonging to or allied with your own military forces; ""friendlies came to their rescue"""
10328,friendly," characteristic of or befitting a friend; ""friendly advice""; ""a friendly neighborhood""; ""the only friendly person here""; ""a friendly host and hostess"""
10329,manifestation," a public display of group feelings (usually of a political nature); ""there were violent demonstrations against the war"""
10330,manifestation," a clear appearance; ""a manifestation of great emotion"""
10331,manifestation," a manifest indication of the existence or presence or nature of some person or thing; ""a manifestation of disease"""
10332,delineate," show the form or outline of; ""The tree was clearly defined by the light""; ""The camera could define the smallest object"""
10333,delineate, describe in vivid detail
10334,controller, someone who maintains and audits business accounts
10335,controller," a mechanism that controls the operation of a machine; ""the speed controller on his turntable was not working properly""; ""I turned the controls over to her"""
10336,overhead," the expense of maintaining property (e.g., paying property taxes and utilities and insurance); it does not include depreciation or the cost of financing or income taxes"
10337,overhead, (computer science) the processing time required by a device prior to the execution of a command
10338,converge, approach a limit as the number of terms increases without limit
10339,converge," move or draw together at a certain location; ""The crowd converged on the movie star"""
10340,converge," come together so as to form a single product; ""Social forces converged to bring the Fascists back to power"""
10341,fixate," pay attention to exclusively and obsessively; ""The media are fixating on Princess Diana's death"""
10342,fixate," attach (oneself) to a person or thing in a neurotic way; ""He fixates on his mother, even at the age of 40"""
10343,storm," behave violently, as if in state of a great anger"
10344,storm," take by force; ""Storm the fort"""
10345,tend," have a tendency or disposition to do or be something; be inclined; ""She tends to be nervous before her lectures""; ""These dresses run small""; ""He inclined to corpulence"""
10346,tend," have care of or look after; ""She tends to the children"""
10347,come up," move toward, travel toward something or somebody or approach something or somebody; ""He came singing down the road""; ""Come with me to the Casbah""; ""come down here!""; ""come out of the closet!""; ""come into the room"""
10348,come up," result or issue; ""A slight unpleasantness arose from this discussion"""
10349,hold over, keep in a position or state from an earlier period of time
10350,hold over, continue a term of office past the normal period of time
10351,survival, something that survives
10352,survival, a state of surviving; remaining alive
10353,printing," all the copies of a work printed at one time; ""they ran off an initial printing of 2000 copies"""
10354,printing, the business of producing printed material for sale or distribution
10355,retain," hold back within; ""This soil retains water""; ""I retain this drug for a long time""; ""the dam retains the water"""
10356,retain," allow to remain in a place or position or maintain a property or feature; ""We cannot continue several servants any longer""; ""She retains a lawyer""; ""The family's fortune waned and they could not keep their household staff""; ""Our grant has run out and we cannot keep you on""; ""We kept the work going as long as we could""; ""She retained her composure""; ""this garment retains its shape even after many washings"""
10357,retain," secure and keep for possible future use or application; ""The landlord retained the security deposit""; ""I reserve the right to disagree"""
10358,retain," keep in one's mind; ""I cannot retain so much information"""
10359,homologize," be homologous; ""A person's arms homologize with a quadruped's forelimbs"""
10360,homologize, make homologous
10361,transmigrate," be born anew in another body after death; ""Hindus believe that we transmigrate"""
10362,transmigrate," move from one country or region to another and settle there; ""Many Germans migrated to South America in the mid-19th century""; ""This tribe transmigrated many times over the centuries"""
10363,balkans, the major mountain range of Bulgaria and the Balkan Peninsula
10364,balkans, a large peninsula in southeastern Europe containing the Balkan Mountain Range
10365,ridge," extend in ridges; ""The land ridges towards the South"""
10366,ridge, plough alternate strips by throwing the furrow onto an unploughed strip
10367,ridge, any long raised strip
10368,ridge, a long narrow natural elevation or striation
10369,ridge, any long raised border or margin of a bone or tooth or membrane
10370,extend," span an interval of distance, space or time; ""The war extended over five years""; ""The period covered the turn of the century""; ""My land extends over the hills on the horizon""; ""This farm covers some 200 acres""; ""The Archipelago continues for another 500 miles"""
10371,extend," open or straighten out; unbend; ""Can we extend the legs of this dining table?"""
10372,extend," expand the influence of; ""The King extended his rule to the Eastern part of the continent"""
10373,extend," prolong the time allowed for payment of; ""extend the loan"""
10374,extend," continue or extend; ""The civil war carried into the neighboring province""; ""The disease extended into the remote mountain provinces"""
10375,shut off," stem the flow of; ""shut off the gas when you leave for a vacation"""
10376,shut off," block off the passage through; ""We shut off the valve"""
10377,mummify," preserve while making lifeless; ""mummified ideas and institutions should be gotten rid of"""
10378,mummify," dry up and shrivel due to complete loss of moisture; ""a mummified body was found"""
10379,uphold," keep or maintain in unaltered condition; cause to remain or last; ""preserve the peace in the family""; ""continue the family tradition""; ""Carry on the old traditions"""
10380,uphold," support against an opponent; ""The appellate court upheld the verdict"""
10381,proportion, the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
10382,proportion, adjust in size relative to other things
10383,proportion," give pleasant proportions to; ""harmonize a building with those surrounding it"""
10384,regard," connect closely and often incriminatingly; ""This new ruling affects your business"""
10385,regard," paying particular notice (as to children or helpless people); ""his attentiveness to her wishes""; ""he spends without heed to the consequences"""
10386,regard," a long fixed look; ""he fixed his paternal gaze on me"""
10387,demarcate," set, mark, or draw the boundaries of something"
10388,demarcate," separate clearly, as if by boundaries"
10389,commune, the smallest administrative district of several European countries
10390,commune, a body of people or families living together and sharing everything
10391,marrow, very tender and very nutritious tissue from marrowbones
10392,marrow, the fatty network of connective tissue that fills the cavities of bones
10393,horse, provide with a horse or horses
10394,horse, a padded gymnastic apparatus on legs
10395,horse, solid-hoofed herbivorous quadruped domesticated since prehistoric times
10396,transcend," be superior or better than some standard; ""She exceeded our expectations""; ""She topped her performance of last year"""
10397,transcend," be greater in scope or size than some standard; ""Their loyalty exceeds their national bonds"""
10398,conflict," be in conflict; ""The two proposals conflict!"""
10399,conflict," a state of opposition between persons or ideas or interests; ""his conflict of interest made him ineligible for the post""; ""a conflict of loyalties"""
10400,alignment, the spatial property possessed by an arrangement or position of things in a straight line or in parallel lines
10401,alignment, the act of adjusting or aligning the parts of a device in relation to each other
10402,teaching," a doctrine that is taught; ""the teachings of religion""; ""he believed all the Christian precepts"""
10403,teaching," the profession of a teacher; ""he prepared for teaching while still in college""; ""pedagogy is recognized as an important profession"""
10404,teaching," the activities of educating or instructing; activities that impart knowledge or skill; ""he received no formal education""; ""our instruction was carefully programmed""; ""good classroom teaching is seldom rewarded"""
10405,peg," succeed in obtaining a position; ""He nailed down a spot at Harvard"""
10406,peg, pierce with a wooden pin or knock or thrust a wooden pin into
10407,peg, a wooden pin pushed or driven into a surface
10408,correlate," to bear a reciprocal or mutual relation; ""Do these facts correlate?"""
10409,correlate," bring into a mutual, complementary, or reciprocal relation; ""I cannot correlate these two pieces of information"""
10410,harbour, secretly shelter (as of fugitives or criminals)
10411,harbour, a place of refuge and comfort and security
10412,junior, younger; lower in rank; shorter in length of tenure or service
10413,junior," the younger of two persons; ""she is two years my junior"""
10414,policy," a plan of action adopted by an individual or social group; ""it was a policy of retribution""; ""a politician keeps changing his policies"""
10415,policy," a line of argument rationalizing the course of action of a government; ""they debated the policy or impolicy of the proposed legislation"""
10416,total," add up in number or quantity; ""The bills amounted to $2,000""; ""The bill came to $2,000"""
10417,total, a quantity obtained by the addition of a group of numbers
10418,override," prevail over; ""health considerations override financial concerns"""
10419,override, the act of nullifying; making null and void; counteracting or overriding the effect or force of something
10420,override, counteract the normal operation of (an automatic gear shift in a vehicle)
10421,respite," postpone the punishment of a convicted criminal, such as an execution"
10422,respite, the act of reprieving; postponing or remitting punishment
10423,stunt, perform a stunt or stunts
10424,stunt, a creature (especially a whale) that has been prevented from attaining full growth
10425,stunt, a difficult or unusual or dangerous feat; usually done to gain attention
10426,drowse," be on the verge of sleeping; ""The students were drowsing in the 8 AM class"""
10427,drowse, a light fitful sleep
10428,stick around, be available or ready for a certain function or service
10429,stick around," stay put (in a certain place); ""We are staying in Detroit; we are not moving to Cincinnati""; ""Stay put in the corner here!""; ""Stick around and you will learn something!"""
10430,twig, a small branch or division of a branch (especially a terminal division); usually applied to branches of the current or preceding year
10431,twig," understand, usually after some initial difficulty; ""She didn't know what her classmates were plotting but finally caught on"""
10432,twig," branch out in a twiglike manner; ""The lightning bolt twigged in several directions"""
10433,waters, United States actress and singer (1896-1977)
10434,waters," the serous fluid in which the embryo is suspended inside the amnion; ""before a woman gives birth her waters break"""
10435,result," issue or terminate (in a specified way, state, etc.); end; ""result in tragedy"""
10436,result," come about or follow as a consequence; ""nothing will result from this meeting"""
10437,result," have as a result or residue; ""The water left a mark on the silk dress""; ""Her blood left a stain on the napkin"""
10438,spur," incite or stimulate; ""The Academy was formed to spur research"""
10439,spur, give heart or courage to
10440,spur," a sharp prod fixed to a rider's heel and used to urge a horse onward; ""cowboys know not to squat with their spurs on"""
10441,spur," equip with spurs; ""spur horses"""
10442,have," have as a feature; ""This restaurant features the most famous chefs in France"""
10443,have," cause to be born; ""My wife had twins yesterday!"""
10444,have," undergo; ""The stocks had a fast run-up"""
10445,have," suffer from; be ill with; ""She has arthritis"""
10446,sapote, tropical American tree having wood like mahogany and sweet edible egg-shaped fruit; in some classifications placed in the genus Calocarpum
10447,sapote, brown oval fruit flesh makes excellent sherbet
10448,carbonate, turn into a carbonate
10449,carbonate," treat with carbon dioxide; ""Carbonated soft drinks"""
10450,carbonate, a salt or ester of carbonic acid (containing the anion CO3)
10451,fusion, the act of fusing (or melting) together
10452,fusion, the state of being combined into one body
10453,mine, excavation in the earth from which ores and minerals are extracted
10454,mine," lay mines; ""The Vietnamese mined Cambodia"""
10455,mine, explosive device that explodes on contact; designed to destroy vehicles or ships or to kill or maim personnel
10456,mine," get from the earth by excavation; ""mine ores and metals"""
10457,conclude," come to a close; ""The concert closed with a nocturne by Chopin"""
10458,conclude," bring to a close; ""The committee concluded the meeting"""
10459,indenture, the space left between the margin and the start of an indented line
10460,indenture," bind by or as if by indentures, as of an apprentice or servant; ""an indentured servant"""
10461,indenture, a concave cut into a surface or edge (as in a coastline)
10462,falsify," falsify knowingly; ""She falsified the records"""
10463,falsify," prove false; ""Falsify a claim"""
10464,measure," have certain dimensions; ""This table surfaces measures 20inches by 36 inches"""
10465,measure," a statute in draft before it becomes law; ""they held a public hearing on the bill"""
10466,short-circuit," hamper the progress of; impede; ""short-circuit warm feelings"""
10467,short-circuit," avoid something unpleasant or laborious; ""You cannot bypass these rules!"""
10468,hack," be able to manage or manage successfully; ""I can't hack it anymore""; ""she could not cut the long days in the office"""
10469,hack, cut with a hacking tool
10470,charm," control by magic spells, as by practicing witchcraft"
10471,charm, protect through supernatural powers or charms
10472,charm," attractiveness that interests or pleases or stimulates; ""his smile was part of his appeal to her"""
10473,haze," harass by imposing humiliating or painful tasks, as in military institutions"
10474,haze, confusion characterized by lack of clarity
10475,desert," desert (a cause, a country or an army), often in order to join the opposing cause, country, or army; ""If soldiers deserted Hitler's army, they were shot"""
10476,desert, arid land with little or no vegetation
10477,revolt," make revolution; ""The people revolted when bread prices tripled again"""
10478,revolt," fill with distaste; ""This spoilt food disgusts me"""
10479,prosecute," bring a criminal action against (in a trial); ""The State of California prosecuted O.J. Simpson"""
10480,prosecute, conduct a prosecution in a court of law
10481,bastardize," change something so that its value declines; for example, art forms"
10482,bastardize, declare a child to be illegitimate
10483,whore, work as a prostitute
10484,whore, have unlawful sex with a whore
10485,vitiate," corrupt morally or by intemperance or sensuality; ""debauch the young people with wine and women""; ""Socrates was accused of corrupting young men""; ""Do school counselors subvert young children?""; ""corrupt the morals"""
10486,vitiate," make imperfect; ""nothing marred her beauty"""
10487,disorder, bring disorder to
10488,disorder, a disturbance of the peace or of public order
10489,juggle," manipulate by or as if by moving around components; ""juggle an account so as to hide a deficit"""
10490,juggle," deal with simultaneously; ""She had to juggle her job and her children"""
10491,chisel," engage in deceitful behavior; practice trickery or fraud; ""Who's chiseling on the side?"""
10492,chisel, an edge tool with a flat steel blade with a cutting edge
10493,victimize," make a victim of; ""I was victimized by this con-man"""
10494,victimize," deprive of by deceit; ""He swindled me out of my inheritance""; ""She defrauded the customers who trusted her""; ""the cashier gypped me when he gave me too little change"""
10495,victimize, punish unjustly
10496,whitefish, any market fish--edible saltwater fish or shellfish--except herring
10497,whitefish, silvery herring-like freshwater food fish of cold lakes of the northern hemisphere
10498,trespass," enter unlawfully on someone's property; ""Don't trespass on my land!"""
10499,trespass," make excessive use of; ""You are taking advantage of my good will!""; ""She is trespassing upon my privacy"""
10500,trespass, commit a sin; violate a law of God or a moral law
10501,trespass, pass beyond (limits or boundaries)
10502,trespass," a wrongful interference with the possession of property (personal property as well as realty), or the action instituted to recover damages"
10503,trespass, break the law
10504,practise," carry out or practice; as of jobs and professions; ""practice law"""
10505,practise," learn by repetition; ""We drilled French verbs every day""; ""Pianists practice scales"""
10506,perform," carry out or perform an action; ""John did the painting, the weeding, and he cleaned out the gutters""; ""the skater executed a triple pirouette""; ""she did a little dance"""
10507,perform," get (something) done; ""I did my job"""
10508,perform," give a performance (of something); ""Horowitz is performing at Carnegie Hall tonight""; ""We performed a popular Gilbert and Sullivan opera"""
10509,whirligig," a conical child's plaything tapering to a steel point on which it can be made to spin; ""he got a bright red top and string for his birthday"""
10510,whirligig, whirl or spin like a whirligig
10511,stymy," hinder or prevent the progress or accomplishment of; ""His brother blocked him at every turn"""
10512,stymy, a thwarting and distressing situation
10513,second," give support or one's approval to; ""I'll second that motion""; ""I can't back this plan""; ""endorse a new project"""
10514,second," an indefinitely short time; ""wait just a moment""; ""in a mo""; ""it only takes a minute""; ""in just a bit"""
10515,second," a particular point in time; ""the moment he arrived the party began"""
10516,second, 1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
10517,succour, help in a difficult situation
10518,succour," assistance in time of difficulty; ""the contributions provided some relief for the victims"""
10519,titi, deciduous shrubby tree of eastern North America having deeply fissured bark and sprays of small fragrant white flowers and sour-tasting leaves
10520,titi, tree of low-lying coastal areas of southeastern United States having glossy leaves and racemes of fragrant white flowers
10521,prescriptivism, (ethics) a doctrine holding that moral statements prescribe appropriate attitudes and behavior
10522,prescriptivism, (linguistics) a doctrine supporting or promoting prescriptive linguistics
10523,colour," modify or bias; ""His political ideas color his lectures"""
10524,colour," (physics) the characteristic of quarks that determines their role in the strong interaction; ""each flavor of quarks comes in three colors"""
10525,distill," give off (a liquid); ""The doctor distilled a few drops of disinfectant onto the wound"""
10526,distill," undergo condensation; change from a gaseous to a liquid state and fall in drops; ""water condenses""; ""The acid distills at a specific temperature"""
10527,distill, undergo the process of distillation
10528,average," achieve or reach on average; ""He averaged a C"""
10529,average, (sports) the ratio of successful performances to opportunities
10530,fail," judge unacceptable; ""The teacher failed six students"""
10531,fail," fall short in what is expected; ""She failed in her obligations as a good daughter-in-law""; ""We must not fail his obligation to the victims of the Holocaust"""
10532,bastille," a fortress built in Paris in the 14th century and used as a prison in the 17th and 18th centuries; it was destroyed July 14, 1789 at the start of the French Revolution"
10533,bastille, a jail or prison (especially one that is run in a tyrannical manner)
10534,walk around," behave in a certain manner or have certain properties; ""He walks around with his nose in the air""; ""She walks around with this strange boyfriend"""
10535,walk around," walk with no particular goal; ""we were walking around in the garden""; ""after breakfast, she walked about in the park"""
10536,disfavour," put at a disadvantage; hinder, harm; ""This rule clearly disadvantages me"""
10537,disfavour," the state of being out of favor; ""he is in disfavor with the king"""
10538,ringtail, North American raccoon
10539,ringtail, raccoon-like omnivorous mammal of Mexico and the southwestern United States having a long bushy tail with black and white rings
10540,ringtail, monkey of Central America and South America having thick hair on the head that resembles a monk's cowl
10541,shaker, a container in which something can be shaken
10542,shaker," a person who wields power and influence; ""a shaker of traditional beliefs""; ""movers and shakers in the business world"""
10543,bate," moderate or restrain; lessen the force of; ""He bated his breath when talking about this affair""; ""capable of bating his enthusiasm"""
10544,bate," soak in a special solution to soften and remove chemicals used in previous treatments; ""bate hides and skins"""
10545,thrill," something that causes you to experience a sudden intense feeling or sensation; ""the thrills of space travel"""
10546,thrill," cause to be thrilled by some perceptual input; ""The men were thrilled by a loud whistle blow"""
10547,thrill," the swift release of a store of affective force; ""they got a great bang out of it""; ""what a boot!""; ""he got a quick rush from injecting heroin""; ""he does it for kicks"""
10548,boat, a small vessel for travel on water
10549,boat, ride in a boat on water
10550,lamb, young sheep
10551,lamb," give birth to a lamb; ""the ewe lambed"""
10552,lamb, the flesh of a young domestic sheep eaten as food
10553,whiteness, the state of being unsullied by sin or moral wrong; lacking a knowledge of evil
10554,whiteness, the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black)
10555,let in," allow to enter; grant entry to; ""We cannot admit non-members into our club building""; ""This pipe admits air"""
10556,let in," allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of; ""admit someone to the profession""; ""She was admitted to the New Jersey Bar"""
10557,remand," lock up or confine, in or as in a jail; ""The suspects were imprisoned without trial""; ""the murderer was incarcerated for the rest of his life"""
10558,remand, the act of sending an accused person back into custody to await trial (or the continuation of the trial)
10559,water," the part of the earth's surface covered with water (such as a river or lake or ocean); ""they invaded our territorial waters""; ""they were sitting by the water's edge"""
10560,water," provide with water; ""We watered the buffalo"""
10561,water," a liquid necessary for the life of most animals and plants; ""he asked for a drink of water"""
10562,water, binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent
10563,water," fill with tears; ""His eyes were watering"""
10564,water," supply with water, as with channels or ditches or streams; ""Water the fields"""
10565,divert," occupy in an agreeable, entertaining or pleasant fashion; ""The play amused the ladies"""
10566,divert, turn aside; turn away from
10567,spotlight," move into the foreground to make more visible or prominent; ""The introduction highlighted the speaker's distinguished career in linguistics"""
10568,spotlight," illuminate with a spotlight, as in the theater"
10569,spotlight," a focus of public attention; ""he enjoyed being in the limelight""; ""when Congress investigates it brings the full glare of publicity to the agency"""
10570,wive, take (someone) as a wife
10571,wive," marry a woman, take a wife"
10572,solemnize, perform (the wedding ceremony) with proper ceremonies
10573,solemnize," observe or perform with dignity or gravity; ""The King solemnized this day of morning"""
10574,whale, a very large person; impressive in size or qualities
10575,whale, hunt for whales
10576,whale, any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head
10577,outlaw," declare illegal; outlaw; ""Marijuana is criminalized in the U.S."""
10578,outlaw, someone who has committed a crime or has been legally convicted of a crime
10579,void," declare invalid; ""The contract was annulled""; ""void a plea"""
10580,void, the state of nonexistence
10581,void," take away the legal force of or render ineffective; ""invalidate a contract"""
10582,void, excrete or discharge from the body
10583,takeoff, humorous or satirical mimicry
10584,takeoff, a departure; especially of airplanes
10585,takeoff, the initial ascent of an airplane as it becomes airborne
10586,strike out," cause to get out; ""The pitcher retired three batters""; ""the runner was put out at third base"""
10587,strike out," set out on a course of action; ""He struck out on his own"""
10588,strike out," remove from a list; ""Cross the name of the dead person off the list"""
10589,strike out," put out or be put out by a strikeout; ""Oral struck out three batters to close the inning"""
10590,vellicate," touch (a body part) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements"
10591,vellicate," irritate as if by a nip, pinch, or tear; ""smooth surfaces can vellicate the teeth""; ""the pain is as if sharp points pinch your back"""
10592,list," include in a list; ""Am I listed in your register?"""
10593,list," tilt to one side; ""The balloon heeled over""; ""the wind made the vessel heel""; ""The ship listed to starboard"""
10594,misestimate," judge incorrectly; ""I had misestimated his determination"""
10595,misestimate," calculate incorrectly; ""I miscalculated the number of guests at the wedding"""
10596,paragraph," divide into paragraphs, as of text; ""This story is well paragraphed"""
10597,paragraph," write about in a paragraph; ""All her friends were paragraphed in last Monday's paper"""
10598,paragraph, one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line
10599,paragraph, write paragraphs; work as a paragrapher
10600,peanut, pod of the peanut vine containing usually 2 nuts or seeds; `groundnut' and `monkey nut' are British terms
10601,peanut, underground pod of the peanut vine
10602,peanut, a young child who is small for his age
10603,liberalize," become more liberal; ""The laws liberalized after Prohibition"""
10604,liberalize," make liberal or more liberal, of laws and rules"
10605,sponsor, do one's shopping at; do business with; be a customer or client of
10606,sponsor, assume sponsorship of
10607,sponsor, an advocate who presents a person (as for an award or a degree or an introduction etc.)
10608,rent, hold under a lease or rental agreement; of goods and services
10609,rent," let for money; ""We rented our apartment to friends while we were abroad"""
10610,rent," grant use or occupation of under a term of contract; ""I am leasing my country estate to some foreigners"""
10611,rent, the return derived from cultivated land in excess of that derived from the poorest land cultivated under similar conditions
10612,rent," a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service"
10613,prevent," keep from happening or arising; make impossible; ""My sense of tact forbids an honest answer""; ""Your role in the projects precludes your involvement in the competitive project"""
10614,prevent," stop (someone or something) from doing something or being in a certain state; ""We must prevent the cancer from spreading""; ""His snoring kept me from falling asleep""; ""Keep the child from eating the marbles"""
10615,nitrate," treat with nitric acid, so as to change an organic compound into a nitrate; ""nitroglycerin is obtained by nitrating glycerol"""
10616,nitrate, any compound containing the nitrate group (such as a salt or ester of nitric acid)
10617,organize," create (as an entity); ""social groups form everywhere""; ""They formed a company"""
10618,organize, cause to be structured or ordered or operating according to some principle or idea
10619,organize," plan and direct (a complex undertaking); ""he masterminded the robbery"""
10620,organize," bring order and organization to; ""Can you help me organize my files?"""
10621,ford, a shallow area in a stream that can be forded
10622,ford, cross a river where it's shallow
10623,intern," work as an intern; ""The young doctor is interning at the Medical Center this year"""
10624,intern," deprive of freedom; ""During WW II, Japanese were interned in camps in the West"""
10625,vet," work as a veterinarian; ""She vetted for the farms in the area for many years"""
10626,vet, provide veterinary care for
10627,license," authorize officially; ""I am licensed to practice law in this state"""
10628,license, freedom to deviate deliberately from normally applicable rules or practices (especially in behavior or speech)
